OldName,NewName,Column,Tourney
owen  bass,owen bass,Team A - Player 1,
brandon brown,brandon  brown,Team A - Player 1,
glen strouss,glen strous,Team A - Player 1,
coleman epperson,coleman epperson's,Team A - Player 1,
christina chang,christine chang,Team A - Player 1,
advanced (4.0),advanced 4.0,Division,
3.0 open intermediate,open 3.0 (intermediate),Division,
intermediate (open 3.0),3.0 open intermediate,Division,
contender 4.5+,contender(4.5),Division,
contender(4.5),contender (4.5),Division,
contender (4.5),contender 4.5,Division,
expert 5.0+,expert 5.0,Division,
premier 5.0+,premier(5.0),Division,
premier (5.0),premier (5.0+),Division,
premier (5.0+),premier 5.0+,Division,
premier(5.0),premier 5.0,Division,
contender (open 4.5),open 4.5 (contender),Division,
4.5+ contender (open),contender (open 4.5),Division,
4.5+ open,open 4.5+,Division,
intermediate(3.0),intermediate (3.0),Division,
intermediate 3.0,intermediate(3.0),Division,
advanced(4.0),4.0 advanced,Division,
4.0 advanced,advanced (4.0),Division,
mixed 4.0+,mixed 4.0,Division,
advanced 4.0,advanced(4.0),Division,
women's advanced 4.0+,4.0+ women's advanced,Division,
mixed advanced 4.0+,mixed advanced(4.0+),Division,
mixed intermediate 2.0-3.0,mixed intermediate(2.0-3.0),Division,
advanced(4.0)/intermediate(3.0),intermediate/advanced 3.0-4.0,Division,
Ryder Rivadeneryra,Ryder Rivadeneyra,,
Coleman Epperson's,Coleman Epperson,,
Craig Hammon,Buddy Hammon,,
Ashley Gingerich Showalter,Ashley Showalter,,
Jake Amend,Jacob Amend,,
Conner Prelich,Connor Prelich,,
Jonathan Saysamone,Jonathan Sayasamone,,
Kelby Betolett,Kelby Bertolett,,
Kirstie Feller,Kierstie Feller,,
Kyle johnson,Kyle Johnson,,
Mathew Cole,Matthew Cole,,
Matthew Burrow,Matthew Burrows,,
Joe Laruaffa,Joe Laruffa,,
LINDSEY METZGER,LINDSAY METZGER,,
ZACH DUFFY,ZACK DUFFY,,
KONOR PRELICH,Connor Prelich,,
GAVIN R LOTTS,GAVIN LOTTS,,
GRAYSON M WILLS,GRAYSON WILLS,,
DAN MCPARTLAND,DANIEL MCPARTLAND,,
JAKE HOWHANNESIAN,JACOB HOWHANNESIAN,,
JOE CONSOLINO,JOSEPH CONSOLINO,,
NATHAN HARGROVE,NATHANIEL HARGROVE,,
NATHAN IANDOLI,NATHANIEL IANDOLI,,
SAM BUCKMAN,SAMUEL BUCKMAN,,
"Thomas Hamilton, Thomas Hamilton",Thomas Hamilton,,
704TREV_ROUNDNET,TREVOR CLEMENTS,,
TREVOR CLEMENTS 704_TREV,TREVOR CLEMENTS,,
704TREV _ROUNDNET,TREVOR CLEMENTS,,
"KEYAN MCLAUGHLIN, KEYAN MCLAUGHLIN",KEYAN MCLAUGHLIN,,
TREVOR CLEMENTS 704TREV,TREVOR CLEMENTS,,
GABRIEL FINOCCHI,GABE FINOCCHI,,
BENJAMIN GOLDFARB,BEN GOLDFARB,,
KALIN MIRAMONTES,KALIN MORGAN,,
NICOLAS RAMOS,NICK RAMOS,,
